date_time,demand,spline,fourier,mlp,sarimax,forecast,residuals
2021-01-01 00:00:00,24109.25,25569.304914479995,25205.140000032727,27204.197753667115,26528.3715187565,26682.825027118488,2573.575027118488
2021-01-01 01:00:00,23848.17,24558.411808827783,24727.78602408981,24716.30317026523,25399.672392995377,25062.177886397072,1214.007886397074
2021-01-01 02:00:00,23706.82,24174.94761265295,24673.284825613388,24613.90614008614,25596.503066628396,24961.397583496844,1254.5775834968445
2021-01-01 03:00:00,23577.5,24040.62316259538,24175.15268729572,24593.55869789727,25029.709630147856,24722.08526603263,1144.585266032631
2021-01-01 04:00:00,23647.9,24066.25368258056,24074.97537646196,24400.95593857742,24438.54141771392,24511.277735567295,863.3777355672937
2021-01-01 05:00:00,24057.57,24284.78916754757,24414.4242321651,24345.399757751937,24676.719472180637,24641.130712512473,583.5607125124734
2021-01-01 06:00:00,24622.87,25443.831574827575,26100.015915243534,25522.097873943727,26530.47116577707,26082.34204411899,1459.4720441189893
2021-01-01 07:00:00,25484.64,27462.0600627952,27749.454051467037,27405.911527194112,28391.303873124198,28021.495785568888,2536.8557855688887
2021-01-01 08:00:00,26012.44,27958.53631016116,28226.39596564343,28290.87399218168,27371.750974583723,28421.567708216247,2409.1277082162487
2021-01-01 09:00:00,26027.81,27653.36869459003,27950.46711844731,27659.22101491121,26897.389769004487,27927.986648749942,1900.1766487499408
2021-01-01 10:00:00,25555.38,27617.436032349506,26798.02576621132,26263.913305456583,26393.587911758303,26968.09635523956,1412.7163552395577
2021-01-01 11:00:00,25090.27,27203.324945644494,26264.92641021953,26968.241399835537,25745.911648035384,26979.55411197365,1889.2841119736513
2021-01-01 12:00:00,24714.52,26865.704468182605,25955.00118933503,26377.229203559324,25927.35200521539,26611.79023259879,1897.2702325987884
2021-01-01 13:00:00,24609.58,26884.366108867707,26057.48720676688,27267.21096636553,26853.705974490826,27217.54325637822,2607.963256378218
2021-01-01 14:00:00,24624.48,27049.145813427946,25797.04039242026,26639.800039997583,27374.354030805665,27004.52774807285,2380.0477480728514
2021-01-01 15:00:00,24614.47,26780.3107474661,25544.72129299225,26451.0740476448,27052.10506782147,26751.600225141527,2137.1302251415254
2021-01-01 16:00:00,25304.62,27093.90881631126,25704.74685396309,26299.57611077786,27017.786911995117,26764.588017270235,1459.9680172702356
2021-01-01 17:00:00,26755.25,27757.17452594468,26863.726691654378,28044.20035850801,27723.15500523356,28066.868841057658,1311.6188410576578
2021-01-01 18:00:00,27305.92,28146.939443716725,27445.46432899897,29080.314059904947,28016.2204055165,28795.017191656836,1489.0971916568378
2021-01-01 19:00:00,26714.24,27569.514526808016,26967.796539582625,28254.916788012222,27863.977985149973,28168.337557746618,1454.097557746616
2021-01-01 20:00:00,26071.36,26878.450436313942,26281.82899376409,27083.62038245828,27208.39677757571,27224.65252130216,1153.292521302159
2021-01-01 21:00:00,25729.81,26319.114384813765,25646.4415292828,26013.911334777364,27502.49220909168,26543.787116689313,813.9771166893115
2021-01-01 22:00:00,24998.09,26096.825188882867,25168.006065443813,25657.81794329661,26610.291896399794,26068.93554052651,1070.8455405265086
2021-01-01 23:00:00,24168.41,25297.761087365103,24307.585592651594,24240.04251817644,25001.795029887748,24774.139031163366,605.729031163366
2021-01-02 00:00:00,23497.11,24349.535678611293,23903.842137434847,25306.55417785361,23515.8169808628,24728.2848138765,1231.1748138764997
2021-01-02 01:00:00,23156.64,23802.422184113777,23982.05190007181,23954.31390843009,23219.50343576655,23951.869999190185,795.2299991901855
2021-01-02 02:00:00,23165.1,23793.580333607897,23761.376978903947,24186.11359352733,23867.561523591303,24127.21185799426,962.1118579942631
2021-01-02 03:00:00,23321.88,23833.77133142311,23672.15268296067,24139.70901353429,24539.302504455944,24213.56316929749,891.6831692974883
2021-01-02 04:00:00,23448.96,23843.110279391003,23720.6058995289,24903.335171807343,23567.26749119686,24394.5451269272,945.5851269272025
2021-01-02 05:00:00,23830.0,24041.33478905722,23903.72309617947,24671.22159658766,23233.356815952608,24296.193497203254,466.1934972032541
2021-01-02 06:00:00,24467.87,24790.89108064892,24237.93241729672,24738.579419526748,23252.27114231467,24538.70915444626,70.83915444626109
2021-01-02 07:00:00,25468.7,25004.80584156594,25009.39366335977,25264.04022343133,22576.51717073839,24858.234708312608,610.4652916873929
2021-01-02 08:00:00,26364.89,25560.49408056236,25939.34861623168,25706.871500198973,23189.44948449667,25468.244071277924,896.645928722075
2021-01-02 09:00:00,26897.25,26141.81254462665,26577.94051642247,26276.430509680285,24644.75473379728,26241.233763780692,656.0162362193078
2021-01-02 10:00:00,27102.56,27051.073338747254,26865.65625748713,26430.299993282253,24876.077270328507,26583.026870009577,519.5331299904246
2021-01-02 11:00:00,27106.24,27125.8393956618,26729.755052881617,26653.188263676155,24460.810966084657,26580.9123248629,525.3276751371013
2021-01-02 12:00:00,27038.26,26819.20011717569,26203.131040093744,26473.803527944503,24704.91080409949,26369.568594617514,668.6914053824839
2021-01-02 13:00:00,26367.29,26784.59593233757,25379.951331626227,25629.023375876848,25569.383990895243,25960.486843586776,406.8031564132252
2021-01-02 14:00:00,25424.68,26286.661406214946,24938.25329553157,25130.93620126125,25041.85799213269,25435.56885142902,10.888851429019269
2021-01-02 15:00:00,24688.81,25891.07597760865,24715.712984727288,25151.525731518093,25140.279668729698,25334.157151624437,645.3471516244354
2021-01-02 16:00:00,25201.62,25976.405804956645,24421.159133860285,23981.518132516576,23577.67653840652,24442.12423240665,759.4957675933474
