,intercept,spline,fourier,mlp,sarimax
0,-0.0037873242243045223,0.209053051065482,0.17577982185809238,0.40208446168341166,0.1891218931286296
1,-0.003436735823794082,0.20899353201127951,0.17525576191847422,0.40268718254877905,0.18885808368445922
2,-0.0029699069601005334,0.2088852322552325,0.1745243664600178,0.4038982445750978,0.18811327851651533
3,-0.0025454636762642677,0.20869214683135093,0.17406312268483276,0.4045065456945248,0.18781105690763752
4,-0.002262183429455876,0.20838158996934494,0.17364808880786106,0.40495158334789,0.1878339503361178
5,-0.00198492453333848,0.2081018282943223,0.17297169344623306,0.40577387811930926,0.18773838843461152
6,-0.0016003571141418337,0.2072792093228008,0.17264100804228277,0.40629507805028114,0.1882467474800518
7,-0.0006485487736987241,0.20565653789218413,0.17201555172657113,0.4078950637228268,0.18908671346122033
8,-2.8487322798803705e-05,0.203823717972481,0.17135896914872378,0.40976768699459093,0.18986211419507573
9,0.0004600931525717563,0.20221336166517398,0.17096161307468877,0.41245529961971644,0.18919139649755778
10,0.0005743027811324237,0.201240442966986,0.16983924017577184,0.41444045955761427,0.1892032825116001
11,0.0006416815430826246,0.19970468274419256,0.16998550185588399,0.4166361176278761,0.1883274645905746
12,0.0007284553813423033,0.19875297101174796,0.170061918837797,0.4179368187957228,0.18784465692690916
13,0.0014914108079245422,0.19753819286182983,0.17062557304224715,0.41902828330959757,0.1873853232688732
14,0.002221746592567731,0.19526586197345344,0.1710839201641468,0.4215551350238955,0.1865372353217241
15,0.002922837084157538,0.19338807839542796,0.17117176834713074,0.42374077414741557,0.18599264326953924
16,0.0033570922012208706,0.1922391908256979,0.17171021040845233,0.42456354920045114,0.18575418410225256
17,0.003773466562681731,0.19201841071335507,0.17215436376599538,0.4247007916567002,0.18556763488931438
18,0.004122575388795945,0.1915858925854036,0.1725907120681007,0.42486543859133125,0.1856609078157386
19,0.004086754798703712,0.1894013788067908,0.17454775913892104,0.4246180851058634,0.18610353062926493
20,0.003842737894877104,0.18744399262800424,0.1760571923165702,0.4235590535097137,0.1874298657705817
21,0.003454045883906373,0.18641990740915765,0.1760829615052672,0.4237052889881079,0.1880111351907571
22,0.002965657354686821,0.18467398016770853,0.17635994029104712,0.4248845090489031,0.18800538640305017
23,0.0021728906571201402,0.1836523179170578,0.17711310103930408,0.4270826996912244,0.18593265773472212
24,0.0012984343592317975,0.18409157445315003,0.18301869752163413,0.4208613418146309,0.1857076868315609
25,0.0008167963153292519,0.18224597100946702,0.18476618709747852,0.4211711357791499,0.185655429740724
26,0.0004418890735488724,0.18198774284610036,0.18673572540697972,0.4201578584423304,0.18511308917832542
27,0.00020520014601257117,0.18170586547059056,0.18856066418560943,0.4190009734733799,0.18482530982711368
28,0.00013460138759702423,0.1810646273611215,0.19005689715028623,0.4182480496408081,0.1847999813944712
