date_time,demand,forecast_reg,forecast_linf,forecast_l1
2021-01-01 00:00:00,24722.83333333333,25877.786426266633,24966.673609445974,25955.76396335376
2021-01-01 01:00:00,23571.5,23877.28181949922,23034.56058542587,23902.06367717135
2021-01-01 02:00:00,21491.0,22235.23093787917,21439.76204869145,22210.07490342829
2021-01-01 03:00:00,19709.166666666668,21305.33754174839,20529.180451637894,21237.360779500075
2021-01-01 04:00:00,18791.666666666668,20901.315710779716,20121.256381543317,20789.54563852845
2021-01-01 05:00:00,18562.166666666668,21376.60020939398,20538.97640148238,21193.4048546504
2021-01-01 06:00:00,18756.166666666668,23080.861913108878,22138.820520572513,22830.412291064615
2021-01-01 07:00:00,19261.5,25614.114529904946,24575.801637952256,25365.25918798545
2021-01-01 08:00:00,19465.666666666668,27892.172562169824,26758.586024673386,27702.836255961534
2021-01-01 09:00:00,20375.0,30114.60960297303,28917.928082784667,29998.165824368865
2021-01-01 10:00:00,22682.33333333333,31887.969226389836,30664.525847591125,31842.296605863823
2021-01-01 11:00:00,24699.33333333333,32409.282800114997,31192.01978813423,32409.458509126554
2021-01-01 12:00:00,25716.0,32019.482115259598,30816.86095595181,31993.240308242013
2021-01-01 13:00:00,26681.666666666668,31774.144830518202,30589.66729445892,31755.613640201744
2021-01-01 14:00:00,27091.83333333333,31194.37827076178,30039.836042588435,31197.067790101268
2021-01-01 15:00:00,25420.5,30300.49777078271,29164.471782066186,30268.73001397113
2021-01-01 16:00:00,24735.666666666668,29701.005851139293,28580.596694733355,29643.93732380132
2021-01-01 17:00:00,25012.83333333333,29748.618156761146,28611.379316730472,29640.482204044234
2021-01-01 18:00:00,26998.33333333333,31624.529624269526,30432.97933843889,31574.765030807004
2021-01-01 19:00:00,28153.33333333333,32071.7538152945,30882.567577453618,32072.372464369895
2021-01-01 20:00:00,28750.166666666668,31324.28289697469,30168.863923663754,31314.136945533886
2021-01-01 21:00:00,29145.0,30309.95226882465,29234.58869515993,30375.040755521382
2021-01-01 22:00:00,28421.33333333333,28002.91110382574,26995.24826053039,28040.487509780432
2021-01-01 23:00:00,26297.166666666668,26887.572486345733,25907.670925149807,26918.546563842458
2021-01-02 00:00:00,24886.0,26178.657483148105,25284.682294073344,26309.143006554263
2021-01-02 01:00:00,21479.5,24939.49542211495,24108.139116506893,25056.560523275602
2021-01-02 02:00:00,20098.33333333333,23034.766984789017,22269.641018384602,23139.179672097544
2021-01-02 03:00:00,19385.83333333333,21523.412258626024,20808.36985063641,21576.411231391772
2021-01-02 04:00:00,19179.83333333333,20556.58118969568,19861.50720023808,20556.974167848817
2021-01-02 05:00:00,19472.33333333333,20153.142630936036,19453.640767232126,20087.924340073176
2021-01-02 06:00:00,20591.666666666668,20033.78109284657,19314.660008535117,19896.342650626415
2021-01-02 07:00:00,22078.666666666668,20523.641226979315,19771.02587197969,20383.49964087156
2021-01-02 08:00:00,23707.666666666668,21350.011516933642,20532.40689529238,21203.045929624477
2021-01-02 09:00:00,26196.666666666668,23015.268985568076,22136.403553199736,22872.899166300816
2021-01-02 10:00:00,28760.83333333333,25082.958423838903,24147.95949873215,24994.386630316585
2021-01-02 11:00:00,29750.166666666668,26892.930107540466,25923.118163372674,26874.82427409888
2021-01-02 12:00:00,29729.0,28058.59031009455,27055.089633215914,28063.260377356484
2021-01-02 13:00:00,30092.5,28431.23706411814,27417.82209463315,28454.047064618637
2021-01-02 14:00:00,30593.83333333333,28549.472117314566,27589.55834547029,28685.679673509774
2021-01-02 15:00:00,29804.33333333333,27471.45807625705,26527.81582505918,27556.908142813063
2021-01-02 16:00:00,29162.166666666668,26331.52286383607,25444.87209844621,26425.37659099159
2021-01-02 17:00:00,29227.83333333333,25842.45688761482,24995.059810533352,26003.1666735708
2021-01-02 18:00:00,31333.166666666668,27445.074674558353,26496.30591625793,27564.133613682654
2021-01-02 19:00:00,32556.83333333333,28955.528377011306,27938.123602644264,29046.174279689494
2021-01-02 20:00:00,33246.0,30316.79180870479,29241.162374222968,30472.398078088434
2021-01-02 21:00:00,33350.166666666664,30631.389845860605,29560.99529492667,30809.970173039485
2021-01-02 22:00:00,31726.83333333333,29933.194331320563,28917.374876491413,30143.950545665357
2021-01-02 23:00:00,29310.83333333333,28291.880644641722,27344.44243402672,28475.84466313882
2021-01-03 00:00:00,26469.5,25366.929580341588,24530.613964163505,25527.45319634243
2021-01-03 01:00:00,23781.666666666668,22362.72532780117,21590.10645973096,22379.501871079156
2021-01-03 02:00:00,22013.5,20861.82127000755,20125.53624845283,20851.66254456347
2021-01-03 03:00:00,21021.0,19954.680364244705,19232.997079003297,19914.677170688126
2021-01-03 04:00:00,20712.0,19525.133407394864,18800.05807717363,19445.772797619844
2021-01-03 05:00:00,20664.166666666668,19774.23526056189,19018.97089922911,19655.028223371453
2021-01-03 06:00:00,21274.166666666668,20825.94666284525,20024.834681958848,20694.22592366428
2021-01-03 07:00:00,22168.0,22230.724540553514,21388.715335430108,22103.273024695925
2021-01-03 08:00:00,23193.166666666668,23610.37479428198,22686.268306069014,23447.498307205457
2021-01-03 09:00:00,25161.83333333333,25428.959833924808,24424.431633590946,25284.049417550843
2021-01-03 10:00:00,27868.5,27277.947031609972,26230.602808965756,27202.53667782326
2021-01-03 11:00:00,29239.166666666668,28254.442582053252,27182.25073889888,28253.362078484683
2021-01-03 12:00:00,29275.33333333333,28677.98701845399,27589.767066811728,28668.47894584993
2021-01-03 13:00:00,29809.0,29226.627047273952,28116.04860219714,29238.922073689326
2021-01-03 14:00:00,30102.83333333333,29154.851685868984,28092.14624842327,29238.711073607832
2021-01-03 15:00:00,29018.166666666668,28507.805860272863,27463.10603314315,28606.299308329126
