date_time,demand,mlp_regressor_forecast,linear_regression_forecast,ridge_regression_forecast,xgboost_forecast
2022-01-01 00:00:00,21558.666666666668,23971.16310843286,23987.69972853134,23986.32265864457,23487.793
2022-01-01 01:00:00,20914.0,22705.015150013005,22721.98654069011,22720.104807416756,22347.41
2022-01-01 02:00:00,19622.166666666668,21287.314734925192,21289.4996124908,21287.831845915553,21013.682
2022-01-01 03:00:00,18462.83333333333,20561.59082474754,20548.99546008707,20547.78640964186,20131.877
2022-01-01 04:00:00,17723.333333333332,20257.64827296348,20250.036090143836,20248.482984835846,20091.316
2022-01-01 05:00:00,17409.166666666668,19975.458222824098,19968.79939676929,19967.104678759322,20047.773
2022-01-01 06:00:00,17511.666666666668,19948.83086666187,19936.434396291093,19935.00894055767,20020.193
2022-01-01 07:00:00,17822.5,20476.737378330712,20464.864458022043,20463.633981807277,20143.752
2022-01-01 08:00:00,17817.833333333332,21580.68226685992,21559.015459532406,21558.66404496978,21085.553
2022-01-01 09:00:00,18410.33333333333,23475.167751229685,23468.638537855262,23468.32145814539,23227.703
2022-01-01 10:00:00,19910.0,25155.467034766105,25200.148419823876,25198.187166755604,25331.688
2022-01-01 11:00:00,20941.0,25425.950328517083,25484.620765999167,25482.160416936986,25946.832
2022-01-01 12:00:00,21476.0,25310.55273458988,25366.139887291025,25363.81077513033,25524.914
2022-01-01 13:00:00,22041.666666666668,25227.398050861222,25282.2275338533,25279.933966728113,25555.646
2022-01-01 14:00:00,22453.33333333333,24961.601157091696,25034.003773757893,25030.876375068914,25083.744
2022-01-01 15:00:00,21194.666666666668,24260.045045260904,24325.397564163235,24322.348683456472,24005.863
2022-01-01 16:00:00,20600.83333333333,23362.6603945519,23390.88240397387,23389.1210783627,22983.176
2022-01-01 17:00:00,20977.666666666668,23184.074941717226,23153.010620163986,23153.68918421526,23178.578
2022-01-01 18:00:00,23032.0,24671.592822898994,24676.878006208273,24676.59193167425,24906.518
2022-01-01 19:00:00,24364.83333333333,26110.455100283125,26171.367478438715,26169.37442552738,26312.867
2022-01-01 20:00:00,24893.5,26583.674703124623,26635.35055474475,26633.93347926693,27174.883
2022-01-01 21:00:00,25223.33333333333,26358.14921483411,26457.575819458652,26454.259982080814,26254.158
2022-01-01 22:00:00,24269.83333333333,25140.137535364855,25241.319568311086,25237.53524863321,24856.807
2022-01-01 23:00:00,22704.5,23966.227987703274,23951.064336884985,23951.37148158051,23800.209
2022-01-02 00:00:00,21166.83333333333,21909.149863354345,21902.839293294284,21902.085238225663,21594.922
2022-01-02 01:00:00,19602.83333333333,20586.60522513632,20570.868753047656,20570.00815112062,19960.4
2022-01-02 02:00:00,18439.83333333333,19290.104574844485,19257.211537970667,19256.550181586714,19537.664
2022-01-02 03:00:00,17833.833333333332,18471.784277153853,18441.73646396096,18440.671398590166,19287.662
2022-01-02 04:00:00,17567.166666666668,17994.7320270076,17951.780743037703,17951.04729940724,19316.756
2022-01-02 05:00:00,17627.5,17827.30179736022,17768.688859226113,17768.52425474202,18537.45
2022-01-02 06:00:00,18300.166666666668,18067.17704674451,18002.36670630179,18002.567907638317,19169.31
2022-01-02 07:00:00,19135.5,18525.141140664848,18471.01468093062,18470.963054074567,19169.31
2022-01-02 08:00:00,19885.33333333333,19276.12410021994,19225.146205314162,19225.257892864243,19354.312
2022-01-02 09:00:00,21334.0,19956.596773186448,19893.077539245067,19894.010778953438,19721.947
2022-01-02 10:00:00,23170.0,21087.428428046114,21046.60307205234,21047.052369608766,20658.701
2022-01-02 11:00:00,24095.5,21980.200624672318,21961.823601146167,21961.672919776927,21796.652
2022-01-02 12:00:00,24175.0,22660.75395523286,22650.028728389938,22649.831439931462,22603.44
2022-01-02 13:00:00,24584.0,23132.08943037021,23124.45901306551,23124.333026724875,23315.916
2022-01-02 14:00:00,24985.5,23228.359845944087,23250.622777512363,23249.10234244535,23348.434
2022-01-02 15:00:00,23960.5,22310.5743328458,22323.1469024236,22321.686700559567,22062.32
2022-01-02 16:00:00,23295.666666666668,21777.374317666265,21771.5650216002,21770.792111430655,21492.434
2022-01-02 17:00:00,23503.0,21774.26600062302,21724.685380719424,21726.16679315617,21691.88
2022-01-02 18:00:00,25760.83333333333,23065.44102456329,23018.607806811386,23020.5667390592,23559.25
2022-01-02 19:00:00,27244.33333333333,24337.37467604781,24340.90456171576,24340.827422769715,24414.912
2022-01-02 20:00:00,28149.166666666668,25671.626976389307,25681.775299289187,25681.96923137567,26667.803
2022-01-02 21:00:00,28141.83333333333,26399.53050461402,26448.51978647015,26446.952620599506,27643.902
2022-01-02 22:00:00,26832.0,25602.918208582567,25665.014921402002,25662.355863758185,26147.562
2022-01-02 23:00:00,24709.5,23810.679985073362,23849.06839440335,23846.90079702144,23540.129
2022-01-03 00:00:00,22910.666666666668,21806.636928611406,21827.61342286618,21825.47528139508,21251.947
2022-01-03 01:00:00,21303.33333333333,20204.531861157604,20207.626698518525,20205.70226718196,19963.3
2022-01-03 02:00:00,20227.33333333333,19253.230469817467,19227.266220951522,19226.41000124607,19472.11
2022-01-03 03:00:00,19707.33333333333,18784.748174409546,18738.722026199393,18738.669279484897,19444.201
2022-01-03 04:00:00,19712.5,18693.25856413829,18635.174560709234,18635.677140496606,19321.941
2022-01-03 05:00:00,20399.83333333333,19375.812803837718,19285.6384891986,19288.064614645988,19878.041
2022-01-03 06:00:00,22692.33333333333,21631.022402051374,21535.584236833052,21539.3066952897,21882.586
2022-01-03 07:00:00,25907.166666666668,24674.83192384103,24617.251080753984,24620.37678050928,25541.14
