,Intercept,spline,quadratic
0,-1047.511453800344,0.5371949380267558,0.5082223750573561
1,-1153.7773096306441,0.5084050360649064,0.5385241587240329
2,-1203.4717346684356,0.4954409843213848,0.5540715513150526
3,-1009.7451456279789,0.4769538314173133,0.5645091504030461
4,-906.9192704609388,0.5374525737704097,0.5006198103476485
5,-1023.128811204926,0.5067578657553404,0.5368697882801522
6,-612.6052203977764,0.48269550360678604,0.5425839201961634
7,-311.5079920323917,0.5206294934565413,0.4912233016171319
8,-230.87413904749133,0.47848471821921135,0.5297314450089308
9,1939.4639385917587,0.4453615345170172,0.4832177851272428
10,1717.4060056876247,0.37493353706935295,0.5596710691305925
11,892.2608092829583,0.4069843372029782,0.5594055667035285
12,869.9615103564951,0.38293372867218634,0.5838170891206784
13,1172.8773077341452,0.3589405635154076,0.596668127801256
14,1479.1688766968186,0.3370184167141518,0.6047441201800533
15,992.9292599009387,0.45883608114867436,0.5028155646148866
16,1762.7764382898918,0.4909737975421329,0.4457861420134107
17,2052.020674637928,0.4650567310074181,0.4602505341435751
18,1976.8238967268235,0.4552487352544997,0.47271604621006813
19,2334.4473130117767,0.4546717384228186,0.45959156895560344
20,2566.6860635762946,0.4263339097393729,0.47802919563644425
21,1717.9807929684262,0.5412580728869336,0.39895053875086495
22,1777.9688306735914,0.46213085903235074,0.4750682719298989
23,1766.394893258808,0.5109928328978454,0.426984958767929
24,1619.734392796744,0.5053360189687646,0.43871075687219013
25,1935.5657416417537,0.41673994740237513,0.5149332309147928
26,1847.5947787109249,0.43208203297504794,0.5009972012741617
27,1732.478814489157,0.42319971257142586,0.5136318764417147
28,1441.453239453153,0.3847389175732974,0.5617045677799077
29,1277.119708490036,0.3558141841015355,0.596261043462956
30,1631.1697501844292,0.3528721325361631,0.5884295173965137
31,59.62751873776904,0.4252694586655815,0.5693380773829103
32,-1255.571657958029,0.47654425476568574,0.5608720575253255
33,-1399.1956083284056,0.5402241927085389,0.5016629188808046
34,-1079.7388457329355,0.5148535562935672,0.5173153334881442
35,-1220.5459579954775,0.4902140135036704,0.5478801985259367
36,351.78588685010504,0.4196792281210751,0.567599312927195
37,338.23528530965564,0.42323972520761977,0.5653937261269226
38,642.6586086454968,0.34360265221084396,0.6376502934845695
39,586.7267353730387,0.3697997316435606,0.61244778379576
40,370.84595775971036,0.4168145663292191,0.5735080484719584
41,346.06587650334507,0.4128664706531932,0.5781326477318058
42,490.4774969584645,0.4053257563368742,0.5829797055268278
43,701.0867240738033,0.3946611720584148,0.5868987424716143
44,757.6138955776061,0.3743789913301722,0.6046542821452361
45,641.800001897165,0.3498219400319083,0.6332817743447763
46,983.4399452805915,0.33330465173472257,0.6365540325262413
47,1048.4285763507562,0.326801321340468,0.6414069885494587
48,1132.3345816517199,0.27364994538686327,0.6903270034357734
49,1421.7513181469612,0.2929106338819774,0.659955932879462
50,2196.2390558780453,0.29900108787750007,0.6281526990491475
51,468.3215428398605,0.3308876385955038,0.6506637283253162
52,277.87968019534173,0.3366337657658096,0.6508287079773787
53,262.71003855715344,0.3348256645051177,0.6539128333007597
54,662.6015242844142,0.2903542405763062,0.6869544270006203
55,319.8819299891868,0.2521475279423155,0.7372924744867683
56,386.6870914166577,0.26788948568718396,0.7195847937944637
57,581.2322258411766,0.2668563102694209,0.7125571769657615
58,1635.3215465028702,0.22993782903888899,0.7136514777976657
59,756.6573082852306,0.2543973021842952,0.7183371968627318
60,1588.644328437154,0.15006747629435496,0.7948924431335208
61,1034.1474170323336,-0.005176836908992913,0.9710780872684888
62,1034.257791067379,-0.1026738881693473,1.0659186281831445
63,1005.6273748447484,-0.048378898558424324,1.0149959987754351
64,329.0956112299781,0.003987992205341198,0.9902276243347884
65,332.84097845943023,0.006863473764331551,0.9870450204483894
66,205.81523750413038,-0.004328837974237776,1.003960061881065
67,612.4397469365185,-0.020450075489391817,1.0047957359259194
68,804.1241451574562,-0.023426898565534662,0.9994948980535108
69,571.1569298250023,0.031391814279022726,0.9526515764351576
70,1002.4816288087492,0.029984944639629016,0.9391672998786609
71,1284.2570181691667,0.03847949125854516,0.9217172369034825
72,1406.7532931074552,0.04177610634618145,0.9149004494712756
73,1363.7995728642104,0.04053344623732971,0.916831288559354
