date_time,demand,scaled_temp,forecast
2021-01-01 00:00:00,24109.25,-1.1513297805430152,25512.348876771255
2021-01-01 01:00:00,23848.17,-1.076581352757225,24776.85801964996
2021-01-01 02:00:00,23706.82,-1.076581352757225,24530.76257897152
2021-01-01 03:00:00,23577.5,-1.026749067566698,24068.65814215948
2021-01-01 04:00:00,23647.9,-1.0101383058365225,23962.776642659035
2021-01-01 05:00:00,24057.57,-1.035054448431786,24275.631796095022
2021-01-01 06:00:00,24622.87,-1.2260782083288055,25914.050973757996
2021-01-01 07:00:00,25484.64,-1.2426889700589812,27872.352243302867
2021-01-01 08:00:00,26012.44,-1.1014974953524885,28552.752397993863
2021-01-01 09:00:00,26027.81,-1.0018329249714346,28115.702318777214
2021-01-01 10:00:00,25555.38,-0.8772522119951176,27025.888534434373
2021-01-01 11:00:00,25090.27,-0.819114545939503,26495.763674160575
2021-01-01 12:00:00,24714.52,-0.769282260748976,26125.22892655024
2021-01-01 13:00:00,24609.58,-0.7526714990188005,26113.725306336244
2021-01-01 14:00:00,24624.48,-0.7526714990188005,25845.046884801694
2021-01-01 15:00:00,24614.47,-0.769282260748976,25616.569193998763
2021-01-01 16:00:00,25304.62,-0.7775876416140639,25935.30510256101
2021-01-01 17:00:00,26755.25,-0.8025037842093272,27194.981957281827
2021-01-01 18:00:00,27305.92,-0.819114545939503,27909.533996869523
2021-01-01 19:00:00,26714.24,-0.8274199268045908,27501.354177765577
2021-01-01 20:00:00,26071.36,-0.8440306885347663,26927.87817019045
2021-01-01 21:00:00,25729.81,-0.8357253076696786,26266.207979516665
2021-01-01 22:00:00,24998.09,-0.8440306885347663,25624.60456243678
2021-01-01 23:00:00,24168.41,-0.8523360693998542,24679.887898123656
2021-01-02 00:00:00,23497.11,-0.8938629737252932,23786.668088541555
2021-01-02 01:00:00,23156.64,-0.9686114015110834,23623.273303353006
2021-01-02 02:00:00,23165.1,-0.985222163241259,23425.013067096894
2021-01-02 03:00:00,23321.88,-0.9935275441063469,23366.794362706907
2021-01-02 04:00:00,23448.96,-0.9686114015110834,23350.451379979168
2021-01-02 05:00:00,23830.0,-0.9520006397809079,23526.93231435681
2021-01-02 06:00:00,24467.87,-1.0184436867016105,24050.31162172848
2021-01-02 07:00:00,25468.7,-1.0433598292968738,24877.41030542053
2021-01-02 08:00:00,26364.89,-1.0599705910270494,25717.270067577298
2021-01-02 09:00:00,26897.25,-1.068275971892137,26330.926154078417
2021-01-02 10:00:00,27102.56,-1.0599705910270494,26556.693137991428
2021-01-02 11:00:00,27106.24,-1.0184436867016105,26390.71462549266
2021-01-02 12:00:00,27038.26,-0.9603060206459957,25964.13182752434
2021-01-02 13:00:00,26367.29,-0.8606414502649419,25286.196894772882
2021-01-02 14:00:00,25424.68,-0.7941984033442395,24869.9393105823
2021-01-02 15:00:00,24688.81,-0.7526714990188005,24653.085294291403
2021-01-02 16:00:00,25201.62,-0.769282260748976,24568.112642590433
2021-01-02 17:00:00,26916.3,-0.9520006397809079,26324.62239239162
2021-01-02 18:00:00,27781.96,-0.9935275441063469,27085.240851214334
2021-01-02 19:00:00,27199.69,-0.9104737354554688,27247.182516849818
2021-01-02 20:00:00,26574.87,-0.819114545939503,26072.620585899054
2021-01-02 21:00:00,25881.49,-0.8274199268045908,25464.17329003167
2021-01-02 22:00:00,25113.97,-0.8357253076696786,24740.2657942062
2021-01-02 23:00:00,24231.14,-0.8357253076696786,23895.407706109578
2021-01-03 00:00:00,23537.88,-0.8523360693998542,23619.430631715895
2021-01-03 01:00:00,23153.16,-0.8357253076696786,23005.51375091597
2021-01-03 02:00:00,23058.04,-0.8357253076696786,22799.776882287402
2021-01-03 03:00:00,23121.11,-0.8440306885347663,22910.999294075133
2021-01-03 04:00:00,23272.4,-0.8523360693998542,23042.673949058993
2021-01-03 05:00:00,23501.81,-0.8523360693998542,23183.90510999473
2021-01-03 06:00:00,23955.51,-0.8523360693998542,23547.816231612982
2021-01-03 07:00:00,24812.97,-0.9104737354554688,24675.374949544872
2021-01-03 08:00:00,25471.07,-0.8606414502649419,25518.867498473002
2021-01-03 09:00:00,25953.37,-0.8440306885347663,26098.84024456884
2021-01-03 10:00:00,26036.95,-0.819114545939503,26347.582706749166
2021-01-03 11:00:00,25898.87,-0.7858930224791517,26303.6418028734
2021-01-03 12:00:00,26061.3,-0.7360607372886249,26051.56534421062
2021-01-03 13:00:00,25966.24,-0.7526714990188005,25738.050321356728
2021-01-03 14:00:00,25819.38,-0.7526714990188005,25169.54312051202
2021-01-03 15:00:00,25744.15,-0.7526714990188005,24828.363284019044
2021-01-03 16:00:00,26168.53,-0.769282260748976,25278.649571344053
2021-01-03 17:00:00,27385.41,-0.8938629737252932,27119.073331904063
2021-01-03 18:00:00,28214.49,-0.9270844971856443,28113.817898275138
2021-01-03 19:00:00,27686.64,-0.9353898780507323,27997.162501061503
2021-01-03 20:00:00,27075.28,-0.9603060206459957,27484.32631097351
2021-01-03 21:00:00,26339.68,-0.9520006397809079,26654.59588286508
2021-01-03 22:00:00,25631.32,-0.9520006397809079,25700.85950472565
2021-01-03 23:00:00,24615.95,-0.9520006397809079,24574.19605071834
2021-01-04 00:00:00,23828.81,-0.985222163241259,24024.73047878372
2021-01-04 01:00:00,23410.63,-0.9603060206459957,23396.315546621678
2021-01-04 02:00:00,23183.81,-0.9353898780507323,23221.455930745753
2021-01-04 03:00:00,23127.57,-0.9520006397809079,23303.727153720036
2021-01-04 04:00:00,23383.13,-0.9769167823761714,23548.54952781368
