date_time,demand,scaled_temp,forecast,base_forecasts
2021-10-26 14:00:00,20435.42,0.20244730046629755,20872.966558000386,21226.456893669136
2021-10-26 15:00:00,20276.98,0.11939349181541946,20403.31572130737,21004.01056055966
2021-10-26 16:00:00,20316.42,0.12769887268050722,20801.722021213893,21150.245449792015
2021-10-26 17:00:00,20871.22,0.15261501527577073,21500.984024782603,21687.124898465343
2021-10-26 18:00:00,21900.9,0.16922577700594627,22545.493326924785,22241.872895975237
2021-10-26 19:00:00,22009.96,0.21905806219647309,22205.100259266834,21840.673144927867
2021-10-26 20:00:00,21306.23,0.2356688239266488,21490.838246951735,21164.51837065469
2021-10-26 21:00:00,20515.37,0.20244730046629755,20532.660857148676,20427.081283210875
2021-10-26 22:00:00,19623.48,0.14430963441068295,19742.568268837484,19667.192977140505
2021-10-26 23:00:00,18702.86,0.11939349181541946,18793.351591962928,18734.47445130182
2021-10-27 00:00:00,17787.79,0.1027827300852439,17719.706702972187,17674.282144327997
2021-10-27 01:00:00,17263.64,0.0861719683550682,17054.90427360876,17088.749038449347
2021-10-27 02:00:00,17096.2,0.019728921434365814,16548.652662204786,16858.652259911018
2021-10-27 03:00:00,17020.15,-0.021797982891073302,16488.637236263603,16776.331403199267
2021-10-27 04:00:00,17017.38,-0.030103363756161083,16635.61489150097,16822.433125523967
2021-10-27 05:00:00,17366.82,-0.021797982891073302,16863.98642888573,17033.69590740282
2021-10-27 06:00:00,18453.92,-0.055019506351424496,17772.597901524114,17955.776009398007
2021-10-27 07:00:00,20239.82,-0.07993564894668798,19713.999088458317,19780.30716659661
2021-10-27 08:00:00,21534.92,-0.005187221160897672,20682.718855243027,20950.4723262601
2021-10-27 09:00:00,21445.74,0.03633968316454137,20973.733202677577,21082.106383952065
2021-10-27 10:00:00,20851.11,0.05295044489471693,20718.877597012284,21046.64104977314
2021-10-27 11:00:00,20402.63,0.21905806219647309,20334.451011364967,20685.543514534555
2021-10-27 12:00:00,20103.31,0.34363877517279023,19976.055850114524,20392.544798067367
2021-10-27 13:00:00,19475.12,0.26058496652191215,19818.65531579455,20370.066760334394
2021-10-27 14:00:00,19226.8,0.3104172517124391,19814.68143450615,20010.062336951403
2021-10-27 15:00:00,18807.88,0.3270280134426147,19295.456478886164,19584.31323478445
2021-10-27 16:00:00,18854.04,0.3270280134426147,19224.019210390306,19502.743622346145
2021-10-27 17:00:00,19504.67,0.26058496652191215,19771.733757439677,19992.300343108698
2021-10-27 18:00:00,20741.98,0.21075268133138533,20602.361138823588,20870.412205712088
2021-10-27 19:00:00,21257.35,0.17753115787103405,20987.358867797248,21052.866053005557
