date_time,demand,scaled_temp,forecast
2021-01-01 00:00:00,24109.25,-1.1513297805430152,24964.49245164295
2021-01-01 01:00:00,23848.17,-1.076581352757225,24185.71296027369
2021-01-01 02:00:00,23706.82,-1.076581352757225,23826.573725709142
2021-01-01 03:00:00,23577.5,-1.0267490675666981,23618.694602803043
2021-01-01 04:00:00,23647.9,-1.0101383058365225,23705.566810050113
2021-01-01 05:00:00,24057.57,-1.0350544484317858,24157.960663562524
2021-01-01 06:00:00,24622.87,-1.2260782083288055,26015.481825226965
2021-01-01 07:00:00,25484.64,-1.242688970058981,27333.344414639945
2021-01-01 08:00:00,26012.44,-1.1014974953524883,27738.641065920587
2021-01-01 09:00:00,26027.81,-1.0018329249714346,27384.40195497604
2021-01-01 10:00:00,25555.38,-0.8772522119951176,26035.904378895757
2021-01-01 11:00:00,25090.27,-0.819114545939503,25469.123335762557
2021-01-01 12:00:00,24714.52,-0.769282260748976,25006.423627881584
2021-01-01 13:00:00,24609.58,-0.7526714990188004,25595.570561321812
2021-01-01 14:00:00,24624.48,-0.7526714990188004,25283.33452668608
2021-01-01 15:00:00,24614.47,-0.769282260748976,25357.742719139922
2021-01-01 16:00:00,25304.62,-0.7775876416140639,25923.649302112215
2021-01-01 17:00:00,26755.25,-0.8025037842093273,27205.145887889816
2021-01-01 18:00:00,27305.92,-0.819114545939503,27800.05401016
2021-01-01 19:00:00,26714.24,-0.8274199268045906,27490.285245610234
2021-01-01 20:00:00,26071.36,-0.8440306885347663,26901.499451846023
2021-01-01 21:00:00,25729.81,-0.8357253076696786,26148.742156240733
2021-01-01 22:00:00,24998.09,-0.8440306885347663,25203.409000583586
2021-01-01 23:00:00,24168.41,-0.8523360693998542,24151.064803751604
2021-01-02 00:00:00,23497.11,-0.8938629737252932,23264.133649268282
2021-01-02 01:00:00,23156.64,-0.9686114015110835,23299.711429415234
2021-01-02 02:00:00,23165.1,-0.9852221632412591,23200.762409272633
2021-01-02 03:00:00,23321.88,-0.9935275441063468,23227.943587351732
2021-01-02 04:00:00,23448.96,-0.9686114015110835,23103.04156847612
2021-01-02 05:00:00,23830.0,-0.9520006397809079,23362.124294841535
2021-01-02 06:00:00,24467.87,-1.0184436867016105,23671.19149263603
2021-01-02 07:00:00,25468.7,-1.0433598292968738,24351.08041921774
2021-01-02 08:00:00,26364.89,-1.0599705910270492,25133.75183720211
2021-01-02 09:00:00,26897.25,-1.068275971892137,25962.42369002055
2021-01-02 10:00:00,27102.56,-1.0599705910270492,26344.698444472502
2021-01-02 11:00:00,27106.24,-1.0184436867016105,26312.951472928984
2021-01-02 12:00:00,27038.26,-0.9603060206459957,26153.687073112033
2021-01-02 13:00:00,26367.29,-0.8606414502649419,25541.755296035324
2021-01-02 14:00:00,25424.68,-0.7941984033442394,24937.688645166018
2021-01-02 15:00:00,24688.81,-0.7526714990188004,24766.231209179772
2021-01-02 16:00:00,25201.62,-0.769282260748976,23777.892607377635
2021-01-02 17:00:00,26916.3,-0.9520006397809079,25706.26983386841
2021-01-02 18:00:00,27781.96,-0.9935275441063468,26531.48191890452
2021-01-02 19:00:00,27199.69,-0.9104737354554688,26950.96157783173
2021-01-02 20:00:00,26574.87,-0.819114545939503,25938.62148269914
2021-01-02 21:00:00,25881.49,-0.8274199268045906,25440.412127850683
2021-01-02 22:00:00,25113.97,-0.8357253076696786,24783.360524168067
2021-01-02 23:00:00,24231.14,-0.8357253076696786,23920.63017273634
2021-01-03 00:00:00,23537.88,-0.8523360693998542,23134.780074983402
2021-01-03 01:00:00,23153.16,-0.8357253076696786,22255.99827101643
2021-01-03 02:00:00,23058.04,-0.8357253076696786,22168.88793204617
2021-01-03 03:00:00,23121.11,-0.8440306885347663,22296.269476867266
2021-01-03 04:00:00,23272.4,-0.8523360693998542,22574.565717926333
2021-01-03 05:00:00,23501.81,-0.8523360693998542,22911.82964896982
2021-01-03 06:00:00,23955.51,-0.8523360693998542,23170.105502473903
2021-01-03 07:00:00,24812.97,-0.9104737354554688,23926.182530951082
2021-01-03 08:00:00,25471.07,-0.8606414502649419,24472.094195061985
2021-01-03 09:00:00,25953.37,-0.8440306885347663,25440.542555331234
2021-01-03 10:00:00,26036.95,-0.819114545939503,26005.612641736385
2021-01-03 11:00:00,25898.87,-0.7858930224791516,25946.59899910649
2021-01-03 12:00:00,26061.3,-0.7360607372886248,25671.734062265004
2021-01-03 13:00:00,25966.24,-0.7526714990188004,25559.856905036882
2021-01-03 14:00:00,25819.38,-0.7526714990188004,25053.270946267203
2021-01-03 15:00:00,25744.15,-0.7526714990188004,24802.92512087543
2021-01-03 16:00:00,26168.53,-0.769282260748976,25189.364076763923
2021-01-03 17:00:00,27385.41,-0.8938629737252932,26917.69183908287
2021-01-03 18:00:00,28214.49,-0.9270844971856445,27532.50919751468
2021-01-03 19:00:00,27686.64,-0.9353898780507321,27185.061402315772
2021-01-03 20:00:00,27075.28,-0.9603060206459957,26706.288906316706
2021-01-03 21:00:00,26339.68,-0.9520006397809079,26021.069004892033
2021-01-03 22:00:00,25631.32,-0.9520006397809079,25316.53603513623
2021-01-03 23:00:00,24615.95,-0.9520006397809079,24438.985047348677
2021-01-04 00:00:00,23828.81,-0.9852221632412591,24057.70496947486
2021-01-04 01:00:00,23410.63,-0.9603060206459957,23469.585569887855
2021-01-04 02:00:00,23183.81,-0.9353898780507321,23174.186123740932
2021-01-04 03:00:00,23127.57,-0.9520006397809079,23206.097404814656
2021-01-04 04:00:00,23383.13,-0.9769167823761712,23475.063960502357
